2023-10-20 11:34:07,920 - INFO - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2023-10-20 11:34:07,921 - INFO - Added job "my_job" to job store "default"
2023-10-20 11:34:07,921 - INFO - Scheduler started
2023-10-20 11:34:07,939 - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2023-10-20 11:34:07,939 - INFO - [33mPress CTRL+C to quit[0m
2023-10-20 11:34:07,940 - INFO -  * Restarting with stat
2023-10-20 11:34:12,043 - INFO - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2023-10-20 11:34:12,044 - INFO - Added job "my_job" to job store "default"
2023-10-20 11:34:12,046 - INFO - Scheduler started
2023-10-20 11:34:12,053 - WARNING -  * Debugger is active!
2023-10-20 11:34:12,054 - INFO -  * Debugger PIN: 472-615-425
2023-10-20 11:34:13,813 - INFO - 127.0.0.1 - - [20/Oct/2023 11:34:13] "GET / HTTP/1.1" 200 -
2023-10-20 11:34:14,377 - INFO - 127.0.0.1 - - [20/Oct/2023 11:34:14] "GET /video_feed HTTP/1.1" 200 -
2023-10-20 11:34:17,934 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:34:17 +0530)" (scheduled at 2023-10-20 11:34:17.920862+05:30)
2023-10-20 11:34:17,950 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:34:27 +0530)" executed successfully
2023-10-20 11:34:22,056 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:34:22 +0530)" (scheduled at 2023-10-20 11:34:22.043016+05:30)
2023-10-20 11:34:22,071 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:34:32 +0530)" executed successfully
2023-10-20 11:34:27,934 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:34:37 +0530)" (scheduled at 2023-10-20 11:34:27.920862+05:30)
2023-10-20 11:34:27,934 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:34:37 +0530)" executed successfully
2023-10-20 11:34:32,045 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:34:42 +0530)" (scheduled at 2023-10-20 11:34:32.043016+05:30)
2023-10-20 11:34:32,055 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:34:42 +0530)" executed successfully
2023-10-20 11:34:37,925 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:34:47 +0530)" (scheduled at 2023-10-20 11:34:37.920862+05:30)
2023-10-20 11:34:37,935 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:34:47 +0530)" executed successfully
